Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.88925,0.8890146455998715,0.88925,0.8885108288917282
Random Forest,0.94825,0.9488050455396355,0.94825,0.9484269268817849
KNN,0.7285,0.7414663704640488,0.7285,0.7313794436695015
SVM,0.94525,0.9478243244257499,0.94525,0.9456611434951161
